drug,concentration,time_min,log10_cfu_ml,cfu_ml,source,figure
ciprofloxacin,0.03,20,5.97,933254.3,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.03,30,5.82,660693.45,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.03,40,5.68,478630.09,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.03,50,5.54,346736.85,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.03,60,5.4,251188.64,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0625,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0625,10,5.85,707945.78,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0625,20,5.46,288403.15,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0625,30,5.08,120226.44,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0625,40,4.7,50118.72,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0625,50,4.33,21379.62,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0625,60,3.97,9332.54,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.125,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.125,10,5.5,316227.77,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.125,20,4.76,57543.99,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.125,30,4.05,11220.18,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.125,40,3.38,2398.83,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.125,50,2.75,562.34,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.125,60,2.2,158.49,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.25,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.25,10,4.95,89125.09,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.25,20,3.75,5623.41,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.25,30,2.7,501.19,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.25,40,1.95,89.13,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.25,50,1.7,50.12,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.25,60,1.65,44.67,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.5,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.5,10,4.45,28183.83,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.5,20,2.85,707.95,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.5,30,1.85,70.79,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.5,40,1.65,44.67,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.5,50,1.6,39.81,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.5,60,1.58,38.02,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,1,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,1,10,4.38,23988.33,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,1,20,2.7,501.19,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,1,30,1.75,56.23,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,1,40,1.6,39.81,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,1,50,1.55,35.48,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,1,60,1.52,33.11,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,2,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,2,10,4.35,22387.21,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,2,20,2.65,446.68,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,2,30,1.7,50.12,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,2,40,1.55,35.48,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,2,50,1.5,31.62,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,2,60,1.48,30.2,Regoes et al. (2004) AAC,Fig 2A
ampicillin,0,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,0,10,6.38,2398832.92,Regoes et al. (2004) AAC,Fig 2B
ampicillin,0,20,6.5,3162277.66,Regoes et al. (2004) AAC,Fig 2B
ampicillin,0,30,6.63,4265795.19,Regoes et al. (2004) AAC,Fig 2B
ampicillin,0,40,6.75,5623413.25,Regoes et al. (2004) AAC,Fig 2B
ampicillin,0,50,6.88,7585775.75,Regoes et al. (2004) AAC,Fig 2B
ampicillin,0,60,7,10000000,Regoes et al. (2004) AAC,Fig 2B
ampicillin,1,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,1,10,6.35,2238721.14,Regoes et al. (2004) AAC,Fig 2B
ampicillin,1,20,6.45,2818382.93,Regoes et al. (2004) AAC,Fig 2B
ampicillin,1,30,6.54,3467368.5,Regoes et al. (2004) AAC,Fig 2B
ampicillin,1,40,6.62,4168693.83,Regoes et al. (2004) AAC,Fig 2B
ampicillin,1,50,6.7,5011872.34,Regoes et al. (2004) AAC,Fig 2B
ampicillin,1,60,6.78,6025595.86,Regoes et al. (2004) AAC,Fig 2B
ampicillin,2,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,2,10,6.32,2089296.13,Regoes et al. (2004) AAC,Fig 2B
ampicillin,2,20,6.38,2398832.92,Regoes et al. (2004) AAC,Fig 2B
ampicillin,2,30,6.42,2630267.99,Regoes et al. (2004) AAC,Fig 2B
ampicillin,2,40,6.45,2818382.93,Regoes et al. (2004) AAC,Fig 2B
ampicillin,2,50,6.47,2951209.23,Regoes et al. (2004) AAC,Fig 2B
ampicillin,2,60,6.48,3019951.72,Regoes et al. (2004) AAC,Fig 2B
ampicillin,4,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,4,10,6.28,1905460.72,Regoes et al. (2004) AAC,Fig 2B
ampicillin,4,20,6.29,1949844.6,Regoes et al. (2004) AAC,Fig 2B
ampicillin,4,30,6.28,1905460.72,Regoes et al. (2004) AAC,Fig 2B
ampicillin,4,40,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,4,50,6.2,1584893.19,Regoes et al. (2004) AAC,Fig 2B
ampicillin,4,60,6.12,1318256.74,Regoes et al. (2004) AAC,Fig 2B
ampicillin,8,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,8,10,6.15,1412537.54,Regoes et al. (2004) AAC,Fig 2B
ampicillin,8,20,5.95,891250.94,Regoes et al. (2004) AAC,Fig 2B
ampicillin,8,30,5.72,524807.46,Regoes et al. (2004) AAC,Fig 2B
ampicillin,8,40,5.48,301995.17,Regoes et al. (2004) AAC,Fig 2B
ampicillin,8,50,5.24,173780.08,Regoes et al. (2004) AAC,Fig 2B
ampicillin,8,60,5,100000,Regoes et al. (2004) AAC,Fig 2B
ampicillin,16,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,16,10,6.05,1122018.45,Regoes et al. (2004) AAC,Fig 2B
ampicillin,16,20,5.75,562341.33,Regoes et al. (2004) AAC,Fig 2B
ampicillin,16,30,5.4,251188.64,Regoes et al. (2004) AAC,Fig 2B
ampicillin,16,40,5.02,104712.85,Regoes et al. (2004) AAC,Fig 2B
ampicillin,16,50,4.65,44668.36,Regoes et al. (2004) AAC,Fig 2B
ampicillin,16,60,4.3,19952.62,Regoes et al. (2004) AAC,Fig 2B
ampicillin,32,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,32,10,5.95,891250.94,Regoes et al. (2004) AAC,Fig 2B
ampicillin,32,20,5.55,354813.39,Regoes et al. (2004) AAC,Fig 2B
ampicillin,32,30,5.1,125892.54,Regoes et al. (2004) AAC,Fig 2B
ampicillin,32,40,4.65,44668.36,Regoes et al. (2004) AAC,Fig 2B
ampicillin,32,50,4.25,17782.79,Regoes et al. (2004) AAC,Fig 2B
ampicillin,32,60,3.85,7079.46,Regoes et al. (2004) AAC,Fig 2B
ampicillin,64,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,64,10,5.88,758577.58,Regoes et al. (2004) AAC,Fig 2B
ampicillin,64,20,5.4,251188.64,Regoes et al. (2004) AAC,Fig 2B
ampicillin,64,30,4.9,79432.82,Regoes et al. (2004) AAC,Fig 2B
ampicillin,64,40,4.4,25118.86,Regoes et al. (2004) AAC,Fig 2B
ampicillin,64,50,3.95,8912.51,Regoes et al. (2004) AAC,Fig 2B
ampicillin,64,60,3.55,3548.13,Regoes et al. (2004) AAC,Fig 2B
ampicillin,128,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,128,10,5.82,660693.45,Regoes et al. (2004) AAC,Fig 2B
ampicillin,128,20,5.3,199526.23,Regoes et al. (2004) AAC,Fig 2B
ampicillin,128,30,4.78,60255.96,Regoes et al. (2004) AAC,Fig 2B
ampicillin,128,40,4.28,19054.61,Regoes et al. (2004) AAC,Fig 2B
ampicillin,128,50,3.8,6309.57,Regoes et al. (2004) AAC,Fig 2B
ampicillin,128,60,3.4,2511.89,Regoes et al. (2004) AAC,Fig 2B
ampicillin,256,0,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2B
ampicillin,256,10,5.8,630957.34,Regoes et al. (2004) AAC,Fig 2B
ampicillin,256,20,5.25,177827.94,Regoes et al. (2004) AAC,Fig 2B
ampicillin,256,30,4.7,50118.72,Regoes et al. (2004) AAC,Fig 2B
ampicillin,256,40,4.2,15848.93,Regoes et al. (2004) AAC,Fig 2B
ampicillin,256,50,3.72,5248.07,Regoes et al. (2004) AAC,Fig 2B
ampicillin,256,60,3.3,1995.26,Regoes et al. (2004) AAC,Fig 2B
